trip_id,start_time,end_time,usertype,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,gender,birthyear,day_of_week,ride_length_minutes
22117552,2019-03-23 15:16:02.000000 UTC,2019-03-23 15:58:42.000000 UTC,Customer,1943,2560.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,7,42
22144948,2019-03-27 13:52:50.000000 UTC,2019-03-27 14:23:15.000000 UTC,Customer,2194,1825.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,4,30
21992550,2019-03-03 16:42:08.000000 UTC,2019-03-03 17:05:35.000000 UTC,Customer,5239,1407.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,23
22156043,2019-03-28 13:34:35.000000 UTC,2019-03-28 14:00:05.000000 UTC,Customer,2591,1530.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,5,25
22176549,2019-03-31 14:04:19.000000 UTC,2019-03-31 15:15:42.000000 UTC,Customer,2025,4283.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,71
22015406,2019-03-08 13:58:57.000000 UTC,2019-03-08 14:25:19.000000 UTC,Customer,6311,1582.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Female,2000,6,26
22117761,2019-03-23 15:33:29.000000 UTC,2019-03-23 16:35:08.000000 UTC,Subscriber,275,3699.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),Male,1994,7,61
22027690,2019-03-11 14:58:50.000000 UTC,2019-03-11 15:16:50.000000 UTC,Customer,3790,1080.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,2,18
21759126,2019-01-04 14:11:12.000000 UTC,2019-01-04 14:38:56.000000 UTC,Customer,3335,1664.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,6,27
21992550,2019-03-03 16:42:08.000000 UTC,2019-03-03 17:05:35.000000 UTC,Customer,5239,1407.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,23
22072013,2019-03-17 17:14:13.000000 UTC,2019-03-17 17:39:13.000000 UTC,Customer,2851,1500.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,25
21991874,2019-03-03 12:42:43.000000 UTC,2019-03-03 12:52:12.000000 UTC,Customer,2796,569.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,9
22023123,2019-03-10 16:42:31.000000 UTC,2019-03-10 18:43:27.000000 UTC,Customer,2915,7256.0,2,Buckingham Fountain (Temp),2,Buckingham Fountain (Temp),,,1,120
